,0
Start,2025-05-18 06:30:00+03:00
End,2025-05-28 16:00:00+03:00
Period,10 days 10:00:00
Start Value,5555.0
End Value,5693.2156101803575
Total Return [%],2.4881297962260582
Benchmark Return [%],5.210855824588934
Max Gross Exposure [%],100.0
Total Fees Paid,5.54945054944983
Max Drawdown [%],4.647809260408133
Max Drawdown Duration,5 days 18:00:00
Total Trades,1
Total Closed Trades,0
Total Open Trades,1
Open Trade PnL,138.21561018035754
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,2.212860412291827
Calmar Ratio,29.388677292053025
Omega Ratio,1.0508017861607906
Sortino Ratio,3.1222095069711373
